 10025    475      0.0000     37.9556     6225.5550     1530.4820     0.0000     9.2359    1.1632E+00    4.5714E-01    5.1000E-01      4833   4002    822   1087   2.95    1.3677E-01    8.9190E+00
 10011    475      3.0000     37.0729     6218.2510     1680.4500     0.0000    21.6383    1.1456E+00    4.6799E-01    5.2500E-01      4537   3782    790   1049   3.08    1.3482E-01    2.0997E+01
 10014    472      6.0000     43.3123     6147.2370     1547.7300     0.0000    42.9832    1.2657E+00    4.7743E-01    5.2500E-01      4423   3091    623    784   3.01    1.4148E-01    1.6324E+01
 10001    479     10.0000     51.1380     5969.0600      650.0860    16.3000    87.7352    1.4011E+00    5.2342E-01    3.4500E-01      4459   2602    620    212   2.83    1.3906E-01    2.2475E+01
  9995    479     13.0000     62.2870     5802.7830     1168.8480     4.3190    77.9151    1.5836E+00    5.8207E-01    5.8500E-01      4553   2065    645    653   2.73    1.5132E-01    2.2878E+01
  9987    479     17.0000     63.1232     5694.4560     1226.4820    24.5550    88.7777    1.5885E+00    5.8657E-01    6.0000E-01      4371   1868    597    632   2.70    1.5829E-01    3.2214E+01
  9984    478     20.0000     66.1731     5642.4970     1108.4100    26.2430    92.1777    1.6345E+00    5.8592E-01    5.8500E-01      4350   1935    571    567   2.53    1.7278E-01    2.8134E+01
  9979    477     24.0000     72.0442     5552.4130     1003.9380    29.5700    90.9562    1.7211E+00    6.5344E-01    6.1500E-01      4381   1654    615    531   2.51    1.5393E-01    3.3276E+01
  9972    477     27.0000     76.7006     5495.7270      694.1520    30.2740    93.7248    1.7891E+00    6.6305E-01    5.5500E-01      4304   1553    601    378   2.37    1.6221E-01    4.6866E+01
  9965    476     31.0000     79.7479     5420.4750     1327.5600    12.4820    88.9036    1.8285E+00    6.9720E-01    7.6500E-01      4286   1424    599    764   2.58    2.0813E-01    2.9112E+01
  9963    473     34.0000     83.2356     5391.5070     1402.8700    10.8960    93.3275    1.8783E+00    7.1967E-01    8.1000E-01      4295   1347    636    860   2.40    1.8468E-01    1.5582E+01
  9958    475     38.0000     83.2398     5374.1690     1166.5420    10.1820    90.7235    1.8769E+00    6.8242E-01    7.2000E-01      4202   1417    637    702   2.29    1.7969E-01    2.1472E+01
  9957    473     41.0000     83.6166     5372.0620     1193.2680    11.8330    91.2809    1.8824E+00    6.8024E-01    7.2000E-01      4164   1312    546    632   2.25    1.8904E-01    3.6574E+01
  9954    473     45.0000     84.6458     5349.0460      881.1520    10.0430    88.6722    1.8954E+00    6.9050E-01    6.1500E-01      4220   1351    555    426   2.47    1.8002E-01    2.7498E+01
  9953    471     48.0000     87.4340     5320.8550      984.1940    13.1940    82.8756    1.9336E+00    6.8274E-01    6.6000E-01      4164   1302    576    530   2.29    2.0914E-01    2.1390E+01
  9951    471     52.0000     89.2368     5306.8060      899.6180    13.7360    90.5823    1.9585E+00    6.9159E-01    6.1500E-01      4127   1281    550    425   2.23    1.8098E-01    3.1609E+01
  9947    469     55.0000     92.4066     5271.7560     1015.2680    12.5960    79.4934    2.0007E+00    6.5548E-01    6.4500E-01      4128   1192    471    453   2.18    2.1026E-01    3.6400E+01
  9946    468     59.0000     92.0345     5253.2420      995.2580    12.4660    87.6446    1.9931E+00    6.8476E-01    6.7500E-01      4065   1217    515    495   2.17    2.0597E-01    4.3931E+01
  9945    467     62.0000     93.1919     5230.7280      863.9720    12.7680    89.0860    2.0070E+00    6.6091E-01    5.8500E-01      4014   1184    488    378   2.18    1.9169E-01    2.1551E+01
  9946    464     66.0000     96.2201     5209.4790      630.0760    12.3520    93.0562    2.0474E+00    6.8755E-01    5.1000E-01      4040   1189    539    276   2.17    1.7122E-01    4.8981E+01
  9944    465     69.0000     97.6755     5193.4160      808.8200    13.2990    90.5580    2.0661E+00    6.4089E-01    5.5500E-01      3986   1163    442    301   2.14    1.7118E-01    2.9980E+01
  9943    464     73.0000    106.9758     5167.0620      879.2880    12.2610    84.6365    2.1916E+00    6.8727E-01    6.3000E-01      4095   1071    484    400   2.08    1.7464E-01    3.6694E+01
  9942    464     76.0000    105.4783     5144.4860      585.6580    12.1970    84.3244    2.1681E+00    6.9968E-01    5.4000E-01      4080   1026    468    236   2.09    1.8490E-01    5.5925E+01
  9943    463     79.0000    108.2830     5134.9300      715.2480    13.2090    85.0248    2.2049E+00    7.0594E-01    5.7000E-01      4064   1040    466    276   2.08    2.1002E-01    4.4417E+01
  9944    462     83.0000    105.4545     5125.7550      925.5920    13.2150    84.8433    2.1649E+00    6.9206E-01    6.4500E-01      4026   1051    475    406   2.11    1.8747E-01    3.3922E+01
  9945    461     86.0000    107.3699     5121.0700      886.5700    13.5090    92.4319    2.1902E+00    6.6688E-01    6.1500E-01      3997   1083    480    396   2.09    2.2149E-01    3.9675E+01
  9945    460     90.0000    112.6593     5107.3060      501.1600    20.2790    89.2380    2.2596E+00    6.7204E-01    4.3500E-01      4068   1015    451    159   2.05    1.8735E-01    4.0694E+01
  9942    461     93.0000    106.1662     5089.5980      551.6380    27.3790    88.3898    2.1697E+00    7.2767E-01    5.2500E-01      3961    987    483    222   2.08    2.1196E-01    4.3408E+01
  9942    461     97.0000    108.4175     5080.9680      516.6660    32.9250    86.3060    2.1991E+00    6.7868E-01    4.8000E-01      3953   1019    428    187   2.06    1.9133E-01    4.6651E+01
  9941    461    100.0000    113.3037     5068.2500      620.4900    35.1320    80.9856    2.2629E+00    7.4996E-01    5.8500E-01      3968    941    478    262   2.05    1.7525E-01    5.1283E+01
