 10033    467      0.0000     37.0420     6396.5460     1648.2780     0.0000     9.0321    1.1543E+00    4.8399E-01    5.4000E-01      5005   4185   1036   1342   3.01    1.2166E-01    8.7120E+00
 10008    482      3.0000     37.1034     6390.8700      866.0800     0.0000    28.4172    1.1569E+00    4.5567E-01    3.9000E-01      4730   3870    785    556   3.10    1.2153E-01    1.2248E+01
 10008    481      6.0000     39.2897     6319.8330     1252.5820     0.4280    56.0330    1.1975E+00    4.3713E-01    4.3500E-01      4436   3389    608    601   3.01    1.2983E-01    2.1037E+01
 10010    477     10.0000     43.7676     6248.3470     1111.5480     4.3210    76.2159    1.2818E+00    4.4195E-01    4.2000E-01      4460   3106    568    485   3.01    1.3602E-01    4.0687E+01
 10004    477     13.0000     48.0654     6087.1480      932.8580    25.6040    78.0601    1.3530E+00    4.4231E-01    3.9000E-01      4242   2644    507    361   3.07    1.5750E-01    5.1643E+01
  9995    471     17.0000     57.0030     5900.8000     1093.0360    16.2110    73.6222    1.5011E+00    5.5360E-01    5.2500E-01      4299   2157    627    562   2.76    1.6973E-01    1.6313E+01
  9990    466     20.0000     61.3320     5792.6620      955.6220    14.3420    75.6854    1.5669E+00    5.2646E-01    4.8000E-01      4335   2128    525    414   2.76    1.6342E-01    4.6704E+01
  9974    468     24.0000     69.0551     5671.0510     1245.5260    15.0070    76.1885    1.6855E+00    5.7173E-01    6.0000E-01      4291   1753    508    577   2.51    1.9417E-01    2.7543E+01
  9965    468     27.0000     67.1846     5642.2250     1254.6920    14.3190    74.7975    1.6530E+00    5.9030E-01    6.1500E-01      4236   1768    553    611   2.58    1.6872E-01    2.8833E+01
  9953    466     30.0000     77.1785     5543.0590      693.4880    19.6500    75.3523    1.8037E+00    6.3475E-01    4.9500E-01      4225   1564    571    311   2.43    1.6111E-01    2.6959E+01
  9947    463     34.0000     76.3711     5464.7920     1090.5180    23.0660    75.2848    1.7832E+00    6.2571E-01    6.3000E-01      4152   1507    554    556   2.82    2.0358E-01    3.4399E+01
  9942    461     37.0000     78.2146     5449.2350     1181.6160    23.3150    76.5173    1.8106E+00    6.4419E-01    6.6000E-01      4125   1443    558    588   2.30    1.7208E-01    2.1081E+01
  9930    460     41.0000     80.1827     5413.1240      975.8980    23.9410    75.5049    1.8381E+00    6.3604E-01    6.1500E-01      4088   1381    524    473   2.34    1.7989E-01    4.0786E+01
  9921    458     44.0000     81.4107     5407.5170     1036.4800    23.6490    76.2685    1.8572E+00    6.2353E-01    6.1500E-01      3994   1378    494    479   2.26    2.0691E-01    2.7471E+01
  9910    457     48.0000     82.5702     5370.7890     1128.1800    21.0170    74.2385    1.8717E+00    6.4005E-01    6.6000E-01      3986   1370    500    533   2.41    2.1563E-01    3.2410E+01
